Users,Number of Posts,Number of Followers,Number of Followings,Number of Likes for the Tenth Previous Post,Number of Likes for the Eleventh Previous Post,Number of Likes for the Twelfth Previous Post,Number of Self-Presenting Posts from Nine Previous Posts, Gender
User-350,377,684,353,67,73,63,7,f
User-351,135,"5,506",628,303,482,510,8,f
User-352,475,"1,055",386,86,111,84,1,m
User-353,78,"1,091",894,126,106,100,8,m
User-354,80,"3,754","4,663",72,93,111,0,f
User-355,80,"1,331","6,862",256,147,157,8,m
User-356,262,"3,080","1,951",751,773,1028,4,m
User-357,"1,417","5,156","2,118",111,136,138,7,m
User-358,159,730,"3,322",38,60,95,0,m
User-359,95,"4,061","1,587",168,204,150,3,f
User-360,178,875,"5,007",6,21,17,0,m
User-361,166,"1,012","2,080",21,15,25,0,m
User-362,50,199,735,13,10,12,0,m
User-363,64,375,"1,330",24,11,3,0,m
User-364,56,237,484,15,6,7,0,m
User-365,486,"1,336","2,164",35,30,24,0,m
User-366,"1,399","2,344","2,448",51,5,47,2,m
User-367,"2,099",606,"1,034",19,13,10,1,m
User-368,61,133,290,17,15,26,5,f
User-369,161,"1,790","3,740",65,61,23,6,m
User-370,82,"2,686","2,848",136,124,155,3,m
User-371,892,"9,648","7,388",118,70,109,4,m
User-372,179,"1,836","7,446",54,66,34,6,m
User-373,716,"1,710","1,987",59,49,71,5,f
User-374,"1,257","1,822","3,187",111,89,62,9,f
User-375,215,49,320,12,11,5,0,f
User-376,437,750,703,117,135,138,8,f
User-377,104,276,699,19,41,28,0,m
User-378,158,226,216,25,21,12,3,f
User-379,209,696,"3,027",16,11,12,1,m
User-380,359,224,223,26,35,24,2,f
User-381,439,334,962,19,14,26,1,f
User-382,199,108,691,18,20,31,0,m
User-383,165,147,199,46,34,52,3,f
User-384,332,446,579,45,45,39,5,f
User-385,96,574,405,166,150,111,5,f
User-386,"2,241",943,"2,018",43,21,22,5,f
User-387,258,"2,485",562,189,196,327,2,f
User-388,103,384,"2,565",28,30,20,0,m
User-389,571,"1,692","5,999",53,56,56,1,m
User-390,115,"3,502","1,966",144,39,62,2,f
User-391,934,"1,167",927,101,134,116,5,f
User-392,211,"7,772","1,769",297,372,259,5,m
User-393,201,449,302,95,88,83,6,f
User-394,161,"1,184",626,198,162,166,3,f
User-395,417,522,869,41,28,38,3,f
User-396,137,"3,039",767,361,457,530,2,f
User-397,288,799,671,228,219,216,7,f
User-398,431,"3,036",886,450,472,275,2,f
User-399,"1,073",909,"1,476",88,87,66,4,m
User-400,"1,417","6,158","1,265",374,631,245,5,f
User-401,142,650,431,168,116,77,0,f
User-402,375,"1,068",899,104,92,109,0,f
User-403,53,"4,406",248,284,624,453,8,f
User-404,160,916,788,186,182,146,9,f
User-405,200,362,200,27,44,32,3,f
User-406,157,532,293,85,72,85,0,m
User-407,144,622,670,157,198,157,6,f
User-408,106,166,178,59,38,31,3,f
User-409,102,"1,009","2,294",131,199,165,5,f
User-410,328,557,292,38,54,81,4,f
User-411,"1,764","1,043","1,590",129,119,157,6,f
User-412,189,672,"3,809",57,36,24,6,m
User-413,229,"1,831","6,624",88,54,64,1,m
User-414,"1,457",153,252,16,8,12,0,f
User-415,351,506,"4,004",24,17,17,4,f
User-416,484,"1,047","1,026",239,144,192,5,f
User-417,728,"2,172","5,001",195,276,216,8,f
User-418,94,89,645,45,45,34,2,f
User-419,659,"6,609","6,556",1178,1176,1363,0,m
User-420,280,574,"3,288",44,36,111,0,f
User-421,330,"1,687","1,994",276,280,223,8,f
